Geography,Statistic,Expenditure,Year,Income Quintile
Manitoba,Food expenditures,5921.0,2017,Lowest
Manitoba,Shelter,9218.0,2017,Lowest
Manitoba,Household operations,2523.0,2017,Lowest
Manitoba,Household furnishings and equipment,809.0,2017,Lowest
Manitoba,Clothing and accessories,1561.0,2017,Lowest
Manitoba,Private transportation,6066.0,2017,Lowest
Manitoba,Public transportation,480.0,2017,Lowest
Manitoba,Health care,1436.0,2017,Lowest
Manitoba,Personal care,535.0,2017,Lowest
Manitoba,Recreation,1467.0,2017,Lowest
Manitoba,Tobacco products and alcoholic beverages (Terminated),555.0,2017,Lowest
Manitoba,Miscellaneous expenditures,790.0,2017,Lowest
Saskatchewan,Food expenditures,4545.0,2017,Lowest
Saskatchewan,Shelter,10899.0,2017,Lowest
Saskatchewan,Household operations,2658.0,2017,Lowest
Saskatchewan,Household furnishings and equipment,1019.0,2017,Lowest
Saskatchewan,Clothing and accessories,1392.0,2017,Lowest
Saskatchewan,Private transportation,6492.0,2017,Lowest
Saskatchewan,Public transportation,467.0,2017,Lowest
Saskatchewan,Health care,1730.0,2017,Lowest
Saskatchewan,Personal care,602.0,2017,Lowest
Saskatchewan,Games of chance,256.0,2017,Lowest
Saskatchewan,Miscellaneous expenditures,876.0,2017,Lowest
Alberta,Food expenditures,5133.0,2017,Lowest
Alberta,Shelter,13968.0,2017,Lowest
Alberta,Household operations,2896.0,2017,Lowest
Alberta,Household furnishings and equipment,1210.0,2017,Lowest
Alberta,Clothing and accessories,1960.0,2017,Lowest
Alberta,Private transportation,5508.0,2017,Lowest
Alberta,Public transportation,829.0,2017,Lowest
Alberta,Health care,1532.0,2017,Lowest
Alberta,Personal care,545.0,2017,Lowest
Alberta,Recreation,1829.0,2017,Lowest
Alberta,Education,1091.0,2017,Lowest
Alberta,Tobacco products and alcoholic beverages (Terminated),917.0,2017,Lowest
Alberta,Games of chance,186.0,2017,Lowest
Alberta,Miscellaneous expenditures,1055.0,2017,Lowest
British Columbia,Food expenditures,5175.0,2017,Lowest
British Columbia,Shelter,13994.0,2017,Lowest
British Columbia,Household operations,2930.0,2017,Lowest
British Columbia,Household furnishings and equipment,1384.0,2017,Lowest
British Columbia,Clothing and accessories,1781.0,2017,Lowest
British Columbia,Private transportation,5394.0,2017,Lowest
British Columbia,Public transportation,1197.0,2017,Lowest
British Columbia,Health care,1767.0,2017,Lowest
British Columbia,Personal care,672.0,2017,Lowest
British Columbia,Recreation,1680.0,2017,Lowest
British Columbia,Education,2228.0,2017,Lowest
British Columbia,Reading materials and other printed matter,73.0,2017,Lowest
British Columbia,Tobacco products and alcoholic beverages (Terminated),1169.0,2017,Lowest
British Columbia,Miscellaneous expenditures,1184.0,2017,Lowest
Newfoundland and Labrador,Food expenditures,5158.0,2019,Lowest
Newfoundland and Labrador,Shelter,7962.0,2019,Lowest
Newfoundland and Labrador,Household operations,2587.0,2019,Lowest
Newfoundland and Labrador,Household furnishings and equipment,555.0,2019,Lowest
Newfoundland and Labrador,Clothing and accessories,1122.0,2019,Lowest
Newfoundland and Labrador,Private transportation,3990.0,2019,Lowest
Newfoundland and Labrador,Public transportation,464.0,2019,Lowest
Newfoundland and Labrador,Health care,1009.0,2019,Lowest
Newfoundland and Labrador,Personal care,378.0,2019,Lowest
Newfoundland and Labrador,Recreation,1080.0,2019,Lowest
Newfoundland and Labrador,Education,1038.0,2019,Lowest
Newfoundland and Labrador,Reading materials and other printed matter,39.0,2019,Lowest
Newfoundland and Labrador,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1337.0,2019,Lowest
Newfoundland and Labrador,Miscellaneous expenditures,605.0,2019,Lowest
Prince Edward Island,Food expenditures,5637.0,2019,Lowest
Prince Edward Island,Shelter,8370.0,2019,Lowest
Prince Edward Island,Household operations,3656.0,2019,Lowest
Prince Edward Island,Household furnishings and equipment,1243.0,2019,Lowest
Prince Edward Island,Clothing and accessories,917.0,2019,Lowest
Prince Edward Island,Private transportation,4610.0,2019,Lowest
Prince Edward Island,Health care,1229.0,2019,Lowest
Prince Edward Island,Personal care,517.0,2019,Lowest
Prince Edward Island,Recreation,1039.0,2019,Lowest
Prince Edward Island,Miscellaneous expenditures,404.0,2019,Lowest
Nova Scotia,Food expenditures,5151.0,2019,Lowest
Nova Scotia,Shelter,9370.0,2019,Lowest
Nova Scotia,Household operations,3038.0,2019,Lowest
Nova Scotia,Household furnishings and equipment,1062.0,2019,Lowest
Nova Scotia,Clothing and accessories,1713.0,2019,Lowest
Nova Scotia,Private transportation,5455.0,2019,Lowest
Nova Scotia,Public transportation,590.0,2019,Lowest
Nova Scotia,Health care,1678.0,2019,Lowest
Nova Scotia,Personal care,548.0,2019,Lowest
Nova Scotia,Recreation,1666.0,2019,Lowest
Nova Scotia,Education,1293.0,2019,Lowest
Nova Scotia,Reading materials and other printed matter,65.0,2019,Lowest
Nova Scotia,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1125.0,2019,Lowest
Nova Scotia,Miscellaneous expenditures,694.0,2019,Lowest
New Brunswick,Food expenditures,5141.0,2019,Lowest
New Brunswick,Shelter,8477.0,2019,Lowest
New Brunswick,Household operations,2429.0,2019,Lowest
New Brunswick,Household furnishings and equipment,959.0,2019,Lowest
New Brunswick,Clothing and accessories,948.0,2019,Lowest
New Brunswick,Private transportation,4860.0,2019,Lowest
New Brunswick,Public transportation,309.0,2019,Lowest
New Brunswick,Health care,1582.0,2019,Lowest
New Brunswick,Personal care,454.0,2019,Lowest
New Brunswick,Recreation,1825.0,2019,Lowest
New Brunswick,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1040.0,2019,Lowest
New Brunswick,Games of chance,166.0,2019,Lowest
New Brunswick,Miscellaneous expenditures,509.0,2019,Lowest
Quebec,Food expenditures,4668.0,2019,Lowest
Quebec,Shelter,9082.0,2019,Lowest
Quebec,Household operations,2082.0,2019,Lowest
Quebec,Household furnishings and equipment,793.0,2019,Lowest
Quebec,Clothing and accessories,1021.0,2019,Lowest
Quebec,Private transportation,2978.0,2019,Lowest
Quebec,Public transportation,590.0,2019,Lowest
Quebec,Health care,1268.0,2019,Lowest
Quebec,Personal care,608.0,2019,Lowest
Quebec,Recreation,1422.0,2019,Lowest
Quebec,Education,504.0,2019,Lowest
Quebec,Reading materials and other printed matter,87.0,2019,Lowest
Quebec,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1073.0,2019,Lowest
Quebec,Games of chance,163.0,2019,Lowest
Quebec,Miscellaneous expenditures,544.0,2019,Lowest
Ontario,Food expenditures,5670.0,2019,Lowest
Ontario,Shelter,13037.0,2019,Lowest
Ontario,Household operations,2724.0,2019,Lowest
Ontario,Household furnishings and equipment,1097.0,2019,Lowest
Ontario,Clothing and accessories,1737.0,2019,Lowest
Ontario,Private transportation,4059.0,2019,Lowest
Ontario,Public transportation,1033.0,2019,Lowest
Ontario,Health care,1348.0,2019,Lowest
Ontario,Personal care,805.0,2019,Lowest
Ontario,Recreation,1322.0,2019,Lowest
Ontario,Education,1479.0,2019,Lowest
Ontario,Reading materials and other printed matter,126.0,2019,Lowest
Ontario,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1021.0,2019,Lowest
Ontario,Games of chance,68.0,2019,Lowest
Ontario,Miscellaneous expenditures,756.0,2019,Lowest
Manitoba,Food expenditures,5747.0,2019,Lowest
Manitoba,Shelter,11078.0,2019,Lowest
Manitoba,Household operations,2718.0,2019,Lowest
Manitoba,Household furnishings and equipment,1043.0,2019,Lowest
Manitoba,Clothing and accessories,1391.0,2019,Lowest
Manitoba,Private transportation,5262.0,2019,Lowest
Manitoba,Public transportation,730.0,2019,Lowest
Manitoba,Health care,1638.0,2019,Lowest
Manitoba,Personal care,734.0,2019,Lowest
Manitoba,Recreation,1694.0,2019,Lowest
Manitoba,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1081.0,2019,Lowest
Manitoba,Miscellaneous expenditures,1028.0,2019,Lowest
Saskatchewan,Food expenditures,4868.0,2019,Lowest
Saskatchewan,Shelter,12568.0,2019,Lowest
Saskatchewan,Household operations,3468.0,2019,Lowest
Saskatchewan,Household furnishings and equipment,1010.0,2019,Lowest
Saskatchewan,Clothing and accessories,1655.0,2019,Lowest
Saskatchewan,Private transportation,4883.0,2019,Lowest
Saskatchewan,Public transportation,663.0,2019,Lowest
Saskatchewan,Health care,2013.0,2019,Lowest
Saskatchewan,Personal care,644.0,2019,Lowest
Saskatchewan,Recreation,1760.0,2019,Lowest
Saskatchewan,Reading materials and other printed matter,73.0,2019,Lowest
Saskatchewan,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1427.0,2019,Lowest
Saskatchewan,Miscellaneous expenditures,796.0,2019,Lowest
Alberta,Food expenditures,6527.0,2019,Lowest
Alberta,Shelter,15738.0,2019,Lowest
Alberta,Household operations,3573.0,2019,Lowest
Alberta,Household furnishings and equipment,1204.0,2019,Lowest
Alberta,Clothing and accessories,1591.0,2019,Lowest
Alberta,Private transportation,5409.0,2019,Lowest
Alberta,Public transportation,1047.0,2019,Lowest
Alberta,Health care,2269.0,2019,Lowest
Alberta,Personal care,821.0,2019,Lowest
Alberta,Recreation,2127.0,2019,Lowest
Alberta,Education,1516.0,2019,Lowest
Alberta,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1320.0,2019,Lowest
Alberta,Miscellaneous expenditures,1696.0,2019,Lowest
British Columbia,Food expenditures,6388.0,2019,Lowest
British Columbia,Shelter,15645.0,2019,Lowest
British Columbia,Household operations,3296.0,2019,Lowest
British Columbia,Household furnishings and equipment,1413.0,2019,Lowest
British Columbia,Clothing and accessories,1751.0,2019,Lowest
British Columbia,Private transportation,5900.0,2019,Lowest
British Columbia,Public transportation,1330.0,2019,Lowest
British Columbia,Health care,2086.0,2019,Lowest
British Columbia,Personal care,689.0,2019,Lowest
British Columbia,Recreation,1767.0,2019,Lowest
British Columbia,Education,2037.0,2019,Lowest
British Columbia,Reading materials and other printed matter,152.0,2019,Lowest
British Columbia,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1591.0,2019,Lowest
British Columbia,Miscellaneous expenditures,918.0,2019,Lowest
Newfoundland and Labrador,Food expenditures,7409.0,2021,Lowest
Newfoundland and Labrador,Shelter,8245.0,2021,Lowest
Newfoundland and Labrador,Household operations,3593.0,2021,Lowest
Newfoundland and Labrador,Household furnishings and equipment,1412.0,2021,Lowest
Newfoundland and Labrador,Clothing and accessories,618.0,2021,Lowest
Newfoundland and Labrador,Private transportation,4928.0,2021,Lowest
Newfoundland and Labrador,Public transportation,153.0,2021,Lowest
Newfoundland and Labrador,Health care,1461.0,2021,Lowest
Newfoundland and Labrador,Personal care,622.0,2021,Lowest
Newfoundland and Labrador,Recreation,1340.0,2021,Lowest
Newfoundland and Labrador,Reading materials and other printed matter,74.0,2021,Lowest
Newfoundland and Labrador,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1491.0,2021,Lowest
Newfoundland and Labrador,Miscellaneous expenditures,577.0,2021,Lowest
Prince Edward Island,Food expenditures,7256.0,2021,Lowest
Prince Edward Island,Shelter,12412.0,2021,Lowest
Prince Edward Island,Household operations,3667.0,2021,Lowest
Prince Edward Island,Household furnishings and equipment,2383.0,2021,Lowest
Prince Edward Island,Clothing and accessories,1108.0,2021,Lowest
Prince Edward Island,Private transportation,6909.0,2021,Lowest
Prince Edward Island,Public transportation,256.0,2021,Lowest
Prince Edward Island,Health care,2153.0,2021,Lowest
Prince Edward Island,Personal care,813.0,2021,Lowest
Prince Edward Island,Recreation,2313.0,2021,Lowest
Prince Edward Island,Reading materials and other printed matter,86.0,2021,Lowest
Prince Edward Island,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1477.0,2021,Lowest
Prince Edward Island,Miscellaneous expenditures,693.0,2021,Lowest
Nova Scotia,Food expenditures,4998.0,2021,Lowest
Nova Scotia,Shelter,10255.0,2021,Lowest
Nova Scotia,Household operations,2983.0,2021,Lowest
Nova Scotia,Household furnishings and equipment,1432.0,2021,Lowest
Nova Scotia,Clothing and accessories,788.0,2021,Lowest
Nova Scotia,Private transportation,4849.0,2021,Lowest
Nova Scotia,Public transportation,225.0,2021,Lowest
Nova Scotia,Health care,1442.0,2021,Lowest
Nova Scotia,Personal care,615.0,2021,Lowest
Nova Scotia,Recreation,1475.0,2021,Lowest
Nova Scotia,Reading materials and other printed matter,64.0,2021,Lowest
Nova Scotia,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1190.0,2021,Lowest
Nova Scotia,Miscellaneous expenditures,362.0,2021,Lowest
New Brunswick,Food expenditures,6016.0,2021,Lowest
New Brunswick,Shelter,9313.0,2021,Lowest
New Brunswick,Household operations,2834.0,2021,Lowest
New Brunswick,Household furnishings and equipment,1607.0,2021,Lowest
New Brunswick,Clothing and accessories,895.0,2021,Lowest
New Brunswick,Private transportation,3481.0,2021,Lowest
New Brunswick,Public transportation,193.0,2021,Lowest
New Brunswick,Health care,1252.0,2021,Lowest
New Brunswick,Personal care,899.0,2021,Lowest
New Brunswick,Recreation,1724.0,2021,Lowest
New Brunswick,Reading materials and other printed matter,52.0,2021,Lowest
New Brunswick,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1630.0,2021,Lowest
New Brunswick,Games of chance,101.0,2021,Lowest
New Brunswick,Miscellaneous expenditures,509.0,2021,Lowest
Quebec,Food expenditures,5516.0,2021,Lowest
Quebec,Shelter,9246.0,2021,Lowest
Quebec,Household operations,2830.0,2021,Lowest
Quebec,Household furnishings and equipment,1487.0,2021,Lowest
Quebec,Clothing and accessories,763.0,2021,Lowest
Quebec,Private transportation,3658.0,2021,Lowest
Quebec,Public transportation,270.0,2021,Lowest
Quebec,Health care,1400.0,2021,Lowest
Quebec,Personal care,732.0,2021,Lowest
Quebec,Recreation,1370.0,2021,Lowest
Quebec,Education,484.0,2021,Lowest
Quebec,Reading materials and other printed matter,154.0,2021,Lowest
Quebec,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1157.0,2021,Lowest
Quebec,Miscellaneous expenditures,667.0,2021,Lowest
Ontario,Food expenditures,5879.0,2021,Lowest
Ontario,Shelter,14958.0,2021,Lowest
Ontario,Household operations,3266.0,2021,Lowest
Ontario,Household furnishings and equipment,2156.0,2021,Lowest
Ontario,Clothing and accessories,1116.0,2021,Lowest
Ontario,Private transportation,4096.0,2021,Lowest
Ontario,Public transportation,415.0,2021,Lowest
Ontario,Health care,1629.0,2021,Lowest
Ontario,Personal care,761.0,2021,Lowest
Ontario,Recreation,1692.0,2021,Lowest
Ontario,Reading materials and other printed matter,95.0,2021,Lowest
Ontario,"Tobacco products, alcoholic beverages and cannabis for non-medical use",728.0,2021,Lowest
Ontario,Games of chance,102.0,2021,Lowest
Ontario,Miscellaneous expenditures,579.0,2021,Lowest
Manitoba,Food expenditures,5421.0,2021,Lowest
Manitoba,Shelter,11558.0,2021,Lowest
Manitoba,Household operations,3287.0,2021,Lowest
Manitoba,Household furnishings and equipment,1616.0,2021,Lowest
Manitoba,Clothing and accessories,865.0,2021,Lowest
Manitoba,Private transportation,5191.0,2021,Lowest
Manitoba,Public transportation,274.0,2021,Lowest
Manitoba,Health care,1752.0,2021,Lowest
Manitoba,Personal care,691.0,2021,Lowest
Manitoba,Recreation,1808.0,2021,Lowest
Manitoba,Education,844.0,2021,Lowest
Manitoba,Reading materials and other printed matter,51.0,2021,Lowest
Manitoba,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1566.0,2021,Lowest
Manitoba,Miscellaneous expenditures,863.0,2021,Lowest
Saskatchewan,Food expenditures,7399.0,2021,Lowest
Saskatchewan,Shelter,11229.0,2021,Lowest
Saskatchewan,Household operations,3577.0,2021,Lowest
Saskatchewan,Household furnishings and equipment,1363.0,2021,Lowest
Saskatchewan,Clothing and accessories,1019.0,2021,Lowest
Saskatchewan,Private transportation,5546.0,2021,Lowest
Saskatchewan,Public transportation,171.0,2021,Lowest
Saskatchewan,Health care,1861.0,2021,Lowest
Saskatchewan,Recreation,1904.0,2021,Lowest
Saskatchewan,Education,595.0,2021,Lowest
Saskatchewan,Reading materials and other printed matter,79.0,2021,Lowest
Saskatchewan,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1623.0,2021,Lowest
Saskatchewan,Miscellaneous expenditures,1422.0,2021,Lowest
Alberta,Food expenditures,6623.0,2021,Lowest
Alberta,Shelter,13927.0,2021,Lowest
Alberta,Household operations,3792.0,2021,Lowest
Alberta,Household furnishings and equipment,1420.0,2021,Lowest
Alberta,Clothing and accessories,1273.0,2021,Lowest
Alberta,Private transportation,4847.0,2021,Lowest
Alberta,Public transportation,411.0,2021,Lowest
Alberta,Health care,1404.0,2021,Lowest
Alberta,Personal care,1278.0,2021,Lowest
Alberta,Recreation,1716.0,2021,Lowest
Alberta,Reading materials and other printed matter,109.0,2021,Lowest
Alberta,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1397.0,2021,Lowest
Alberta,Miscellaneous expenditures,1253.0,2021,Lowest
British Columbia,Food expenditures,8348.0,2021,Lowest
British Columbia,Shelter,16666.0,2021,Lowest
British Columbia,Household operations,4070.0,2021,Lowest
British Columbia,Household furnishings and equipment,2078.0,2021,Lowest
British Columbia,Clothing and accessories,1329.0,2021,Lowest
British Columbia,Private transportation,3399.0,2021,Lowest
British Columbia,Public transportation,684.0,2021,Lowest
British Columbia,Health care,1864.0,2021,Lowest
British Columbia,Personal care,1085.0,2021,Lowest
British Columbia,Recreation,2157.0,2021,Lowest
British Columbia,Education,1349.0,2021,Lowest
British Columbia,Reading materials and other printed matter,159.0,2021,Lowest
British Columbia,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1592.0,2021,Lowest
British Columbia,Miscellaneous expenditures,538.0,2021,Lowest
Newfoundland and Labrador,Food expenditures,6373.0,2017,Second
Newfoundland and Labrador,Shelter,9791.0,2017,Second
Newfoundland and Labrador,Household operations,3278.0,2017,Second
Newfoundland and Labrador,Household furnishings and equipment,1500.0,2017,Second
Newfoundland and Labrador,Clothing and accessories,2044.0,2017,Second
Newfoundland and Labrador,Private transportation,8793.0,2017,Second
Newfoundland and Labrador,Public transportation,554.0,2017,Second
Newfoundland and Labrador,Health care,1814.0,2017,Second
Newfoundland and Labrador,Personal care,649.0,2017,Second
Newfoundland and Labrador,Recreation,1798.0,2017,Second
Newfoundland and Labrador,Reading materials and other printed matter,117.0,2017,Second
Newfoundland and Labrador,Tobacco products and alcoholic beverages (Terminated),510.0,2017,Second
Newfoundland and Labrador,Miscellaneous expenditures,730.0,2017,Second
Prince Edward Island,Food expenditures,6101.0,2017,Second
Prince Edward Island,Shelter,11337.0,2017,Second
Prince Edward Island,Household operations,3461.0,2017,Second
Prince Edward Island,Household furnishings and equipment,1857.0,2017,Second
Prince Edward Island,Clothing and accessories,2019.0,2017,Second
Prince Edward Island,Private transportation,9195.0,2017,Second
Prince Edward Island,Public transportation,524.0,2017,Second
Prince Edward Island,Health care,2125.0,2017,Second
Prince Edward Island,Personal care,556.0,2017,Second
Prince Edward Island,Recreation,1941.0,2017,Second
Prince Edward Island,Miscellaneous expenditures,840.0,2017,Second
Nova Scotia,Food expenditures,5960.0,2017,Second
Nova Scotia,Shelter,10257.0,2017,Second
Nova Scotia,Household operations,3658.0,2017,Second
Nova Scotia,Household furnishings and equipment,1361.0,2017,Second
Nova Scotia,Clothing and accessories,1682.0,2017,Second
Nova Scotia,Private transportation,7296.0,2017,Second
Nova Scotia,Public transportation,476.0,2017,Second
Nova Scotia,Health care,1737.0,2017,Second
Nova Scotia,Personal care,757.0,2017,Second
Nova Scotia,Recreation,2167.0,2017,Second
Nova Scotia,Reading materials and other printed matter,104.0,2017,Second
Nova Scotia,Tobacco products and alcoholic beverages (Terminated),843.0,2017,Second
Nova Scotia,Games of chance,154.0,2017,Second
Nova Scotia,Miscellaneous expenditures,721.0,2017,Second
New Brunswick,Food expenditures,6242.0,2017,Second
New Brunswick,Shelter,8614.0,2017,Second
New Brunswick,Household operations,3191.0,2017,Second
New Brunswick,Household furnishings and equipment,1016.0,2017,Second
New Brunswick,Clothing and accessories,1472.0,2017,Second
New Brunswick,Private transportation,7063.0,2017,Second
New Brunswick,Public transportation,265.0,2017,Second
New Brunswick,Health care,2053.0,2017,Second
New Brunswick,Personal care,518.0,2017,Second
New Brunswick,Recreation,1624.0,2017,Second
New Brunswick,Tobacco products and alcoholic beverages (Terminated),761.0,2017,Second
New Brunswick,Miscellaneous expenditures,857.0,2017,Second
Quebec,Food expenditures,6287.0,2017,Second
Quebec,Shelter,10825.0,2017,Second
Quebec,Household operations,2785.0,2017,Second
Quebec,Household furnishings and equipment,1588.0,2017,Second
Quebec,Clothing and accessories,2011.0,2017,Second
Quebec,Private transportation,5554.0,2017,Second
Quebec,Public transportation,596.0,2017,Second
Quebec,Health care,1989.0,2017,Second
Quebec,Personal care,954.0,2017,Second
Quebec,Recreation,2129.0,2017,Second
Quebec,Education,564.0,2017,Second
Quebec,Reading materials and other printed matter,100.0,2017,Second
Quebec,Tobacco products and alcoholic beverages (Terminated),1055.0,2017,Second
Quebec,Games of chance,154.0,2017,Second
Quebec,Miscellaneous expenditures,1082.0,2017,Second
Ontario,Food expenditures,6429.0,2017,Second
Ontario,Shelter,17596.0,2017,Second
Ontario,Household operations,3651.0,2017,Second
Ontario,Household furnishings and equipment,1632.0,2017,Second
Ontario,Clothing and accessories,2944.0,2017,Second
Ontario,Private transportation,7857.0,2017,Second
Ontario,Public transportation,985.0,2017,Second
Ontario,Health care,1761.0,2017,Second
Ontario,Personal care,868.0,2017,Second
Ontario,Recreation,2189.0,2017,Second
Ontario,Education,1100.0,2017,Second
Ontario,Reading materials and other printed matter,156.0,2017,Second
Ontario,Miscellaneous expenditures,1083.0,2017,Second
Manitoba,Food expenditures,5539.0,2017,Second
Manitoba,Shelter,12621.0,2017,Second
Manitoba,Household operations,3273.0,2017,Second
Manitoba,Household furnishings and equipment,1322.0,2017,Second
Manitoba,Clothing and accessories,2206.0,2017,Second
Manitoba,Private transportation,8334.0,2017,Second
Manitoba,Public transportation,763.0,2017,Second
Manitoba,Health care,2188.0,2017,Second
Manitoba,Personal care,586.0,2017,Second
Manitoba,Recreation,2288.0,2017,Second
Manitoba,Reading materials and other printed matter,103.0,2017,Second
Manitoba,Tobacco products and alcoholic beverages (Terminated),754.0,2017,Second
Manitoba,Miscellaneous expenditures,1107.0,2017,Second
Saskatchewan,Food expenditures,7354.0,2017,Second
Saskatchewan,Shelter,15213.0,2017,Second
Saskatchewan,Household operations,3892.0,2017,Second
Saskatchewan,Household furnishings and equipment,1870.0,2017,Second
Saskatchewan,Clothing and accessories,2564.0,2017,Second
Saskatchewan,Private transportation,7464.0,2017,Second
Saskatchewan,Public transportation,568.0,2017,Second
Saskatchewan,Health care,2262.0,2017,Second
Saskatchewan,Personal care,753.0,2017,Second
Saskatchewan,Recreation,3196.0,2017,Second
Saskatchewan,Education,1263.0,2017,Second
Saskatchewan,Reading materials and other printed matter,178.0,2017,Second
Saskatchewan,Tobacco products and alcoholic beverages (Terminated),1075.0,2017,Second
Saskatchewan,Miscellaneous expenditures,1405.0,2017,Second
Alberta,Food expenditures,8389.0,2017,Second
Alberta,Shelter,16474.0,2017,Second
Alberta,Household operations,4140.0,2017,Second
Alberta,Household furnishings and equipment,1387.0,2017,Second
Alberta,Clothing and accessories,2658.0,2017,Second
